Reference,Type, Value,Quantity, Datasheet, manf#, Price
U6,IC,ADRF6612,1,,,
U8,IC,SKY13373,1,,,
J2,Connector,RF_INPUT,1,,,
U2,IC,SKY13351,1,,,
C1,Capacitor,100pF,1,,,
C8,Capacitor,33pF,1,,,
C7,Capacitor,33pF,1,,,
C61,Capacitor,10pF,1,,,
C62,Capacitor,10000pF,1,,,
C69,Capacitor,10uF,1,,,
C63,Capacitor,10pF,1,,,
C66,Capacitor,0.1uF,1,,,
C75,Capacitor,10uF,1,,,
C72,Capacitor,10pF,1,,,
C74,Capacitor,0.1uF,1,,,
C87,Capacitor,10uF,1,,,
C79,Capacitor,10pF,1,,,
C84,Capacitor,0.1uF,1,,,
C86,Capacitor,10uF,1,,,
C77,Capacitor,10pF,1,,,
C82,Capacitor,0.1uF,1,,,
C57,Capacitor,22pF,1,,,
C56,Capacitor,10pF,1,,,
C60,Capacitor,10nF,1,,,
C18,Capacitor,39pF,1,,,
C16,Capacitor,560pF,1,,,
C12,Capacitor,0.033uF,1,,,
C6,Capacitor,1500pF,1,,,
R5,Resistor,20k,1,,,
R4,Resistor,1.8k,1,,,
R3,Resistor,910,1,,,
R2,Resistor,0,1,,,
R9,Resistor,0,1,,,
C43,Capacitor,100pF,1,,,
C44,Capacitor,100pF,1,,,
T1,Transformer,TC1-1-43A+,1,,,
J3,Connector,RF_OUTPUT,1,,,
U5,IC,LP0805A0881AS,1,,,
C27,Capacitor,10pF,1,,,
C24,Capacitor,0.1uF,1,,,
C29,Capacitor,10uF,1,,,
C38,Capacitor,10pF,1,,,
C34,Capacitor,0.1uF,1,,,
C30,Capacitor,10uF,1,,,
C39,Capacitor,10pF,1,,,
C35,Capacitor,0.1uF,1,,,
C85,Capacitor,10uF,1,,,
C76,Capacitor,10pF,1,,,
C81,Capacitor,0.1uF,1,,,
C71,Capacitor,10uF,1,,,
C65,Capacitor,10pF,1,,,
C68,Capacitor,0.1uF,1,,,
C70,Capacitor,10uF,1,,,
C64,Capacitor,10pF,1,,,
C67,Capacitor,0.1uF,1,,,
C22,Capacitor,10uF,1,,,
C4,Capacitor,10uF,1,,,
C9,Capacitor,100pF,1,,,
C13,Capacitor,10uF,1,,,
C15,Capacitor,100pF,1,,,
C17,Capacitor,10uF,1,,,
C19,Capacitor,100pF,1,,,
C23,Capacitor,10uF,1,,,
C25,Capacitor,100pF,1,,,
C28,Capacitor,10uF,1,,,
C36,Capacitor,100pF,1,,,
C11,Capacitor,10pF,1,,,
C5,Capacitor,0.1uF,1,,,
C3,Capacitor,10uF,1,,,
C40,Capacitor,10uF,1,,,
C41,Capacitor,100pF,1,,,
C31,Capacitor,10uF,1,,,
C37,Capacitor,100pF,1,,,
T2,IC,TC4-1W+,1,,,
L1,Inductor,330nH,1,,,
L2,Inductor,330nH,1,,,
C53,Capacitor,150pF,1,,,
C54,Capacitor,150pF,1,,,
C59,Capacitor,150pF,1,,,
C46,Capacitor,1000pF,1,,,
R12,Resistor,50,1,,,
R19,Resistor,330,1,,,
C55,Capacitor,10uF,1,,,
C49,Capacitor,10pF,1,,,
C51,Capacitor,0.1uF,1,,,
C83,Capacitor,10uF,1,,,
C78,Capacitor,100pF,1,,,
C58,Capacitor,1000pF,1,,,
R15,Resistor,50,1,,,
C50,Capacitor,1000pF,1,,,
R14,Resistor,50,1,,,
C48,Capacitor,1000pF,1,,,
R13,Resistor,50,1,,,
U3,IC,MIC5504-3.3YM5-TR,1,,,
U4,IC,AP7365-WG-7,1,,,
C45,Capacitor,10uF,1,,,
C42,Capacitor,100pF,1,,,
J1,Connector,USB-MICRO-B,1,,,
C10,Capacitor,1uF,1,,,
C20,Capacitor,1uF,1,,,
D1,Diode,D_Schottky_Small,1,,,
C14,Capacitor,1uF,1,,,
C26,Capacitor,1uF,1,,,
R7,Resistor,3.92K,1,,,
R8,Resistor,2K,1,,,
U7,IC,FOX924B-16.000,1,,,
L3,Inductor,10uH,1,,,
SW1,Button,SW_PUSH_SMALL_H,1,,,
R32,Resistor,330,1,,,
P1,Connector,CONN_02X04,1,,,
D4,LED,Blue,1,,,
D5,LED,Red,1,,,
D3,LED,Green,1,,,
R30,Resistor,330,1,,,
R16,Resistor,330,1,,,
D2,LED,Red,1,,,
R6,Resistor,330,1,,,
U9,IC,ATSAMD21E,1,,ATSAMD21E18A-MU,
C88,Capacitor,1uF,1,,,
C89,Capacitor,100nF,1,,,
C90,Capacitor,10uF,1,,,
C80,Capacitor,100nF,1,,,
C73,Capacitor,10uF,1,,,
R18,Resistor,10k,1,,,
R21,Resistor,0,1,,,
R22,Resistor,0,1,,,
R24,Resistor,0,1,,,
R23,Resistor,0,1,,,
R25,Resistor,0,1,,,
C91,Capacitor,100nF,1,,,
R31,Resistor,10k,1,,,
P2,Connector,CONN_SWD,1,,,
R1,Resistor,0,1,,,
R26,Resistor,0,1,,,
R27,Resistor,0,1,,,
R28,Resistor,0,1,,,
R20,Resistor,0,1,,,
C33,Capacitor,1000pF,1,,,
R11,Resistor,50,1,,,
C32,Capacitor,1000pF,1,,,
R10,Resistor,50,1,,,
R17,Resistor,0,1,,,
C52,Capacitor,150pF,1,,,
C47,Capacitor,150pF,1,,,
D6,Diode,PRTR5V0U2X,1,NXP Semiconductors,,0.38 USD
R29,Resistor,1k,1,,,
