References	Qty	Description	Mouser cart
"C1, C43, C44, C9, C15, C19, C25, C36, C41, C37, C78, C42"	12	C 100pF Unpolarized capacitor 0402	
C6	1	C 1500pF Unpolarized capacitor 0402	
"C8, C7"	2	C 33pF Unpolarized capacitor 0402	
"C10, C20, C14, C26, C88"	5	C 1uF Unpolarized capacitor 0402	
C12	1	C 0.033uF Unpolarized capacitor 0402	
C16	1	C 560pF Unpolarized capacitor 0402	
C18	1	C 39pF Unpolarized capacitor 0402	
"C46, C58, C50, C48, C33, C32"	6	C 1000pF Unpolarized capacitor 0402	
"C53, C54, C59, C52, C47"	5	C 150pF Unpolarized capacitor 0402	
C57	1	C 22pF Unpolarized capacitor 0402	
C60	1	C 10nF Unpolarized capacitor 0402	
"C61, C63, C72, C79, C77, C56, C27, C38, C39, C76, C65, C64, C11, C49"	14	C 10pF Unpolarized capacitor 0402	
C62	1	C 10000pF Unpolarized capacitor 0402	
"C66, C74, C84, C82, C24, C34, C35, C81, C68, C67, C5, C51"	12	C 0.1uF Unpolarized capacitor 0402	
"C69, C75, C87, C86, C29, C30, C85, C71, C70, C22, C4, C13, C17, C23, C28, C3, C40, C31, C55, C83, C45, C90, C73"	23	C 10uF Unpolarized capacitor 0402	
"C89, C80, C91"	3	C Small 100nF Unpolarized capacitor 0402	
D1	1	D Schottky Small-RESCUE-Nigun Small DO-214AA-SMB	
D3	1	Led Small-RESCUE-Nigun Green LED kingsbright	
D4	1	Led Small-RESCUE-Nigun Blue LED kingsbright	
"D5, D2"	2	Led Small-RESCUE-Nigun Red LED kingsbright	
D6	1	PRTR5V0U2X SOT143B	V
J1	1	USB-MICRO-B FRAMATOME 10118194-0001LF	V
J2	1	SMA RF INPUT EDGELAUNCH	
J3	1	SMA RF OUTPUT EDGELAUNCH	
"L1, L2"	2	"L Small 330nH Inductor, small symbol C 0402"	
L3	1	"L Small 10uH Inductor, small symbol C 0603 HandSoldering"	
P1	1	"CONN 02X04 Connector, double row, 02x04 HEADER-2x4"	
P2	1	CONN SWD HEADER-2x5	
"R2, R9, R21, R22, R24, R23, R25, R1, R26, R27, R28, R20, R17"	13	R 0 Resistor 0402	
R3	1	R 910 Resistor 0402	
R4	1	R 1.8k Resistor 0402	
R5	1	R 20k Resistor 0402	
R7	1	R 3.92K Resistor 0402	
R8	1	R 2K Resistor 0402	
"R12, R15, R14, R13, R11, R10"	6	R 50 Resistor 0402	
"R18, R31"	2	"R Small 10k Resistor, small symbol 0402"	
"R19, R32, R30, R16, R6"	5	R 330 Resistor 0402	
R29	1	"R Small 1k Resistor, small symbol 0402"	
SW1	1	SW PUSH SMALL H Tactile	
T1	1	TC1-1-43A+ AT224-1A	alternative
T2	1	TC4-1W+ AT224-1A	alternative
U2	1	SKY13351 SKY13351-378LF	V
U3	1	"MIC5504-3.3YM5-TR 300[mA] Fixed Low Drop Positive Voltage Regulator, Output 3.3V, SOT223 SOT-23-5"	V
U4	1	AP7365-WG-7 SOT25	V
U5	1	LP0805A1119AS LP0805A0881AS CP 0805	Min.QTY
U6	1	ADRF6612 Wideband Mixer and VCO LFCSP48	V
U7	1	FOX924B-16.000 FOX924	V
U8	1	SKY13373 QFN-12-1EP 3x3mm Pitch0.5mm	V
U9	1	ATSAMD21E Atmel SAM D21 Cortex M0+ series QFN32	V
	146		
